x,y,z,m
557.6254,218.0125,121.5357,1
557.6254,218.0125,115.4109,2
566.0251,224.1875,121.5357,3
566.0251,224.1875,115.4109,4
574.7749,230.0375,121.5357,5
574.7749,230.0375,115.4109,6
583.5246,236.0125,121.5357,7
583.5246,236.0125,115.4109,8
592.0993,244.3875,115.4109,9
601.374,250.4875,115.4109,10
610.1239,256.0125,115.4109,1
618.8735,262.25,115.4109,2
627.4482,268.3375,115.4109,3
636.373,274.25,115.4109,4
644.9477,280.0875,115.4109,5
653.8725,286.375,115.4109,6
662.2721,291.825,115.4109,7
671.1969,298.475,115.4109,8
679.7717,306.475,115.4109,9
688.5213,312.75,115.4109,10
697.4461,318.325,115.4109,1
704.2021,324.9625,115.4109,2
504.6875,182.2375,109.0674,3
513.6668,188.35,109.0674,4
522.0665,194.675,109.0674,5
531.3063,200.5125,109.0674,6
540.266,205.7625,109.0674,7
548.9457,212.2375,109.0674,8
557.6254,218.0125,109.0674,9
566.0251,224.1875,109.0674,10
574.7749,230.0375,109.0674,1
583.5246,236.0125,109.0674,2
592.0993,244.3875,109.0674,3
601.374,250.4875,109.0674,4
610.1237,256.0125,109.0674,5
618.8735,262.25,109.0674,6
627.4482,268.3375,109.0674,7
636.373,274.25,109.0674,8
644.9477,280.0875,109.0674,9
653.8725,286.375,109.0674,10
662.2721,291.825,109.0674,1
671.1969,298.475,109.0674,2
679.7717,306.475,109.0674,3
688.5213,312.75,109.0674,4
697.4461,318.325,109.0674,5
704.2021,324.9625,109.0674,6
504.6875,182.2375,103.052,7
513.6668,188.35,103.052,8
522.0665,194.675,103.052,9
531.3063,200.5125,103.052,10
540.266,205.7625,103.052,1
548.9457,212.2375,103.052,2
557.6254,218.0125,103.052,3
566.0251,224.1875,103.052,4
574.7749,230.0375,103.052,5
583.5246,236.0125,103.052,6
592.0993,244.3875,103.052,7
601.374,250.4875,103.052,8
610.1239,256.0125,103.052,9
618.8735,262.25,103.052,10
627.4482,268.3375,103.052,1
636.373,274.25,103.052,2
644.9477,280.0875,103.052,3
653.8725,286.375,103.052,4
662.2721,291.825,103.052,5
671.1969,298.475,103.052,6
679.7717,306.475,103.052,7
688.5213,312.75,103.052,8
697.4461,318.325,103.052,9
704.2021,324.9625,103.052,10
504.6875,182.2375,96.7083,1
513.6668,188.35,96.7083,2
522.0665,194.675,96.7083,3
531.3063,200.5125,96.7083,4
540.266,205.7625,96.7083,5
548.9457,212.2375,96.7083,6
557.6254,218.0125,96.7083,7
566.0251,224.1875,96.7083,8
574.7749,230.0375,96.7083,9
583.5246,236.0125,96.7083,10
592.0993,244.3875,96.7083,1
601.374,250.4875,96.7083,2
610.1239,256.0125,96.7083,3
618.8735,262.25,96.7083,4
627.4482,268.3375,96.7083,5
636.373,274.25,96.7083,6
644.9477,280.0875,96.7083,7
653.8725,286.375,96.7083,8
662.2721,291.825,96.7083,9
671.1969,298.475,96.7083,10
679.7717,306.475,96.7083,1
688.5213,312.75,96.7083,2
697.4461,318.325,96.7083,3
704.2021,324.9625,96.7083,4
504.6875,182.2375,90.5835,5
513.6668,188.35,90.5835,6
522.0665,194.675,90.5835,7
531.3063,200.5125,90.5835,8
540.266,205.7625,90.5835,9
548.9457,212.2375,90.5835,10
557.6254,218.0125,90.5835,1
566.0251,224.1875,90.5835,2
574.7749,230.0375,90.5835,3
583.5246,236.0125,90.5835,4
592.0993,244.3875,90.5835,5
601.374,250.4875,90.5835,6
610.1239,256.0125,90.5835,7
618.8735,262.25,90.5835,8
627.4482,268.3375,90.5835,9
636.373,274.25,90.5835,10
644.9477,280.0875,90.5835,1
653.8725,286.375,90.5835,2
662.2721,291.825,90.5835,3
671.1969,298.475,90.5835,4
679.7717,306.475,90.5835,5
688.5213,312.75,90.5835,6
697.4461,318.325,90.5835,7
704.2021,324.9625,90.5835,8
504.6875,182.2375,84.0213,9
513.6668,188.35,84.0213,10
522.0665,194.675,84.0213,1
531.3063,200.5125,84.0213,2
540.266,205.7625,84.0213,3
548.9457,212.2375,84.0213,4
557.6254,218.0125,84.0213,5
566.0251,224.1875,84.0213,6
574.7749,230.0375,84.0213,7
583.5246,236.0125,84.0213,8
592.0993,244.3875,84.0213,9
601.374,250.4875,84.0213,10
610.1239,256.0125,84.0213,1
618.8735,262.25,84.0213,2
627.4482,268.3375,84.0213,3
636.373,274.25,84.0213,4
644.9477,280.0875,84.0213,5
653.8725,286.375,84.0213,6
662.2721,291.825,84.0213,7
671.1969,298.475,84.0213,8
679.7717,306.475,84.0213,9
688.5213,312.75,84.0213,10
697.4461,318.325,84.0213,1
704.2021,324.9625,84.0213,2
504.6875,182.2375,77.6778,3
513.6668,188.35,77.6778,4
522.0665,194.675,77.6778,5
531.3063,200.5125,77.6778,6
540.266,205.7625,77.6778,7
548.9457,212.2375,77.6778,8
557.6254,218.0125,77.6778,9
566.0251,224.1875,77.6778,10
574.7749,230.0375,77.6778,1
583.5246,236.0125,77.6778,2
592.0993,244.3875,77.6778,3
601.374,250.4875,77.6778,4
610.1239,256.0125,77.6778,5
618.8735,262.25,77.6778,6
627.4482,268.3375,77.6778,7
636.373,274.25,77.6778,8
644.9477,280.0875,77.6778,9
653.8725,286.375,77.6778,10
662.2721,291.825,77.6778,1
671.1969,298.475,77.6778,2
679.7717,306.475,77.6778,3
688.5213,312.75,77.6778,4
697.4461,318.325,77.6778,5
704.2021,324.9625,77.6778,6
513.6668,188.35,71.6621,7
504.6875,182.2375,71.6621,8
522.0665,194.675,71.6621,9
531.3063,200.5125,71.6621,10
540.266,205.7625,71.6621,1
548.9457,212.2375,71.6621,2
557.6254,218.0125,71.6621,3
566.0251,224.1875,71.6621,4
574.7749,230.0375,71.6621,5
583.5246,236.0125,71.6621,6
592.0993,244.3875,71.6621,7
601.374,250.4875,71.6621,8
610.1239,256.0125,71.6621,9
618.8735,262.25,71.6621,10
627.4482,268.3375,71.6621,1
636.373,274.25,71.6621,2
644.9477,280.0875,71.6621,3
653.8725,286.375,71.6621,4
662.2721,291.825,71.6621,5
671.1969,298.475,71.6621,6
679.7717,306.475,71.6621,7
688.5213,312.75,71.6621,8
697.4461,318.325,71.6621,9
704.2021,324.9625,71.6621,10
504.6875,182.2375,65.428,1
513.6668,188.35,65.428,2
522.0665,194.675,65.428,3
531.3063,200.5125,65.428,4
540.266,205.7625,65.428,5
548.9457,212.2375,65.428,6
557.6254,218.0125,65.428,7
566.0251,224.1875,65.428,8
574.7749,230.0375,65.428,9
583.5246,236.0125,65.428,10
592.0993,244.3875,65.428,1
601.374,250.4875,65.428,2
610.1239,256.0125,65.428,3
618.8735,262.25,65.428,4
627.4482,268.3375,65.428,5
636.373,274.25,65.428,6
644.9477,280.0875,65.428,7
653.8725,286.375,65.428,8
662.2721,291.825,65.428,9
671.1969,298.475,65.428,10
679.7717,306.475,65.428,1
688.5213,312.75,65.428,2
504.6875,182.2375,58.7565,3
513.6668,188.35,58.7565,4
522.0665,194.675,58.7565,5
531.3063,200.5125,58.7565,6
540.266,205.7625,58.7565,7
548.9457,212.2375,58.7565,8
557.6254,218.0125,58.7565,9
566.0251,224.1875,58.7565,10
574.7749,230.0375,58.7565,1
583.5246,236.0125,58.7565,2
592.0994,244.3875,58.7565,3
601.374,250.4875,58.7565,4
610.1239,256.0125,58.7565,5
618.8735,262.25,58.7565,6
627.4482,268.3375,58.7565,7
636.373,274.25,58.7565,8
644.9477,280.0875,58.7565,9
653.8725,286.375,58.7565,10
662.2721,291.825,58.7565,1
671.1969,298.475,58.7565,2
679.7717,306.475,58.7565,3
688.5213,312.75,58.7565,4
504.6875,182.2375,52.741,5
513.6668,188.35,52.741,6
522.0665,194.675,52.741,7
531.3063,200.5125,52.741,8
540.266,205.7625,52.741,9
548.9457,212.2375,52.741,10
557.6254,218.0125,52.741,1
566.0251,224.1875,52.741,2
574.7749,230.0375,52.741,3
583.5246,236.0125,52.741,4
592.0994,244.3875,52.741,5
601.374,250.4875,52.741,6
610.1239,256.0125,52.741,7
618.8735,262.25,52.741,8
627.4482,268.3375,52.741,9
636.373,274.25,52.741,10
644.9477,280.0875,52.741,1
653.8725,286.375,52.741,2
662.2721,291.825,52.741,3
671.1969,298.475,52.741,4
679.7717,306.475,52.741,5
688.5213,312.75,52.741,6
504.6875,182.2375,46.1786,7
513.6668,188.35,46.1786,8
522.0665,194.675,46.1786,9
531.3063,200.5125,46.1786,10
540.266,205.7625,46.1786,1
548.9457,212.2375,46.1786,2
557.6254,218.0125,46.1786,3
566.0251,224.1875,46.1786,4
574.7749,230.0375,46.1786,5
583.5246,236.0125,46.1786,6
592.0994,244.3875,46.1786,7
601.374,250.4875,46.1786,8
610.1239,256.0125,46.1786,9
618.8735,262.25,46.1786,10
627.4482,268.3375,46.1786,1
636.373,274.25,46.1786,2
644.9477,280.0875,46.1786,3
653.8725,286.375,46.1786,4
662.2721,291.825,46.1786,5
671.1969,298.475,46.1786,6
679.7717,306.475,46.1786,7
504.6875,182.2375,40.3819,8
513.6668,188.35,40.3819,9
522.0665,194.675,40.3819,10
531.3063,200.5125,40.3819,1
540.266,205.7625,40.3819,2
548.9457,212.2375,40.3819,3
557.6254,218.0125,40.3819,4
566.0251,224.1875,40.3819,5
574.7749,230.0375,40.3819,6
583.5246,236.0125,40.3819,7
592.0994,244.3875,40.3819,8
601.374,250.4875,40.3819,9
610.1239,256.0125,40.3819,10
618.8735,262.25,40.3819,1
627.4482,268.3375,40.3819,2
636.373,274.25,40.3819,3
644.9477,280.0875,40.3819,4
653.8725,286.375,40.3819,5
662.2721,291.825,40.3819,6
671.1969,298.475,40.3819,7
679.7717,306.475,40.3819,8
504.6875,182.2375,34.0384,9
513.6668,188.35,34.0384,10
522.0665,194.675,34.0384,1
531.3063,200.5125,34.0384,2
540.266,205.7625,34.0384,3
548.9457,212.2375,34.0384,4
557.6254,218.0125,34.0384,5
566.0251,224.1875,34.0384,6
574.7749,230.0375,34.0384,7
583.5246,236.0125,34.0384,8
592.0994,244.3875,34.0384,9
601.374,250.4875,34.0384,10
610.1239,256.0125,34.0384,1
618.8735,262.25,34.0384,2
627.4482,268.3375,34.0384,3
636.373,274.25,34.0384,4
644.9477,280.0875,34.0384,5
653.8725,286.375,34.0384,6
662.2721,291.825,34.0384,7
671.1969,298.475,34.0384,8
679.7717,306.475,34.0384,9
504.6875,182.2375,27.8041,10
513.6668,188.35,27.8041,1
522.0665,194.675,27.8041,2
531.3063,200.5125,27.8041,3
592.0994,244.3875,27.8041,4
601.374,250.4875,27.8041,5
610.1239,256.0125,27.8041,6
618.8735,262.25,27.8041,7
627.4482,268.3375,27.8041,8
636.373,274.25,27.8041,9
644.9477,280.0875,27.8041,10
653.8725,286.375,27.8041,1
662.2721,291.825,27.8041,2
671.1969,298.475,27.8041,3
679.7717,306.475,27.8041,4
504.6875,182.2375,21.7887,5
513.6668,188.35,21.7887,6
513.6668,188.35,15.5269,7
504.6875,182.2375,15.5269,8
522.0665,194.675,21.7887,9
522.0665,194.675,15.5269,10
531.3063,200.5125,21.7887,1
531.3063,200.5125,15.5269,2
592.0994,244.3875,21.7887,3
601.374,250.4875,21.7887,4
601.374,250.4875,15.5269,5
592.0994,244.3875,15.5269,6
610.1239,256.0125,21.7887,7
610.1237,256.0125,15.5269,8
618.8735,262.25,21.7887,9
618.8735,262.25,15.5269,10
627.4482,268.3375,21.7887,1
627.4482,268.3375,15.5269,2
636.373,274.25,21.7887,3
636.373,274.25,15.5269,4
644.9477,280.0875,21.7887,5
644.9477,280.0875,15.5269,6
653.8725,286.375,21.7887,7
653.8725,286.375,15.5269,8
662.2721,291.825,21.7887,9
662.2721,291.825,15.5269,10
671.1969,298.475,21.7887,1
671.1969,298.475,15.5269,2
679.7717,306.475,21.7887,3
504.6875,182.2375,215.6881,4
504.6875,182.2375,222.0316,5
513.6668,188.35,222.0316,6
513.6668,188.35,215.6881,7
522.0665,194.675,222.0316,8
522.0665,194.675,215.6881,9
531.3063,200.5125,222.0316,10
531.3063,200.5125,215.6881,1
540.266,205.7625,222.0316,2
540.266,205.7625,215.6881,3
548.9457,212.2375,222.0316,4
548.9457,212.2375,215.6881,5
557.6254,218.0125,222.0316,6
557.6254,218.0125,215.6881,7
566.0251,224.1875,222.0316,8
566.0251,224.1875,215.6881,9
574.7749,230.0375,222.0316,10
574.7749,230.0375,215.6881,1
583.5246,236.0125,222.0316,2
583.5246,236.0125,215.6881,3
592.0993,244.3875,222.0316,4
592.0993,244.3875,215.6881,5
601.374,250.4875,222.0316,6
601.374,250.4875,215.6881,7
610.1239,256.0125,222.0316,8
610.1237,256.0125,215.6881,9
618.8735,262.25,222.0316,10
618.8735,262.25,215.6881,1
627.4482,268.3375,222.0316,2
627.4482,268.3375,215.6881,3
636.373,274.25,222.0316,4
636.373,274.25,215.6881,5
644.9477,280.0875,222.0316,6
644.9477,280.0875,215.6881,7
653.8725,286.375,222.0316,8
653.8725,286.375,215.6881,9
662.2721,291.825,222.0316,10
662.2721,291.825,215.6881,1
671.1969,298.475,222.0316,2
671.1969,298.475,215.6881,3
679.7717,306.475,222.0316,4
679.7717,306.475,215.6881,5
688.5213,312.75,222.0316,6
688.5213,312.75,215.6881,7
697.4461,318.325,222.0316,8
697.4461,318.325,215.6881,9
704.2021,324.9625,222.0316,10
704.2021,324.9625,215.6881,1
504.6875,182.2375,209.6728,2
513.6668,188.35,209.6728,3
522.0665,194.675,209.6728,4
531.3063,200.5125,209.6728,5
540.266,205.7625,209.6728,6
548.9457,212.2375,209.6728,7
557.6254,218.0125,209.6728,8
566.0251,224.1875,209.6728,9
574.7749,230.0375,209.6728,10
583.5246,236.0125,209.6728,1
592.0993,244.3875,209.6728,2
601.374,250.4875,209.6728,3
610.1239,256.0125,209.6728,4
618.8735,262.25,209.6728,5
627.4482,268.3375,209.6728,6
636.373,274.25,209.6728,7
644.9477,280.0875,209.6728,8
653.8725,286.375,209.6728,9
662.2721,291.825,209.6728,10
671.1969,298.475,209.6728,1
679.7717,306.475,209.6728,2
688.5213,312.75,209.6728,3
697.4461,318.325,209.6728,4
704.2021,324.9625,209.6728,5
504.6875,182.2375,203.329,6
513.6668,188.35,203.329,7
522.0665,194.675,203.329,8
531.3063,200.5125,203.329,9
540.266,205.7625,203.329,10
548.9457,212.2375,203.329,1
557.6254,218.0125,203.329,2
566.0251,224.1875,203.329,3
574.7749,230.0375,203.329,4
583.5246,236.0125,203.329,5
592.0993,244.3875,203.329,6
601.374,250.4875,203.329,7
610.1239,256.0125,203.329,8
618.8735,262.25,203.329,9
627.4482,268.3375,203.329,10
636.373,274.25,203.329,1
644.9477,280.0875,203.329,2
653.8725,286.375,203.329,3
662.2721,291.825,203.329,4
671.1969,298.475,203.329,5
679.7717,306.475,203.329,6
688.5213,312.75,203.329,7
697.4461,318.325,203.329,8
704.2021,324.9625,203.329,9
504.6875,182.2375,197.2042,10
513.6668,188.35,197.2042,1
522.0665,194.675,197.2042,2
531.3063,200.5125,197.2042,3
540.266,205.7625,197.2042,4
548.9457,212.2375,197.2042,5
557.6254,218.0125,197.2042,6
566.0251,224.1875,197.2042,7
574.7749,230.0375,197.2042,8
583.5246,236.0125,197.2042,9
592.0993,244.3875,197.2042,10
601.374,250.4875,197.2042,1
610.1239,256.0125,197.2042,2
618.8735,262.25,197.2042,3
627.4482,268.3375,197.2042,4
636.373,274.25,197.2042,5
644.9477,280.0875,197.2042,6
653.8725,286.375,197.2042,7
662.2721,291.825,197.2042,8
671.1969,298.475,197.2042,9
679.7717,306.475,197.2042,10
688.5213,312.75,197.2042,1
697.4461,318.325,197.2042,2
704.2021,324.9625,197.2042,3
504.6875,182.2375,190.642,4
513.6668,188.35,190.642,5
522.0665,194.675,190.642,6
531.3063,200.5125,190.642,7
540.266,205.7625,190.642,8
548.9457,212.2375,190.642,9
557.6254,218.0125,190.642,10
566.0251,224.1875,190.642,1
574.7749,230.0375,190.642,2
583.5246,236.0125,190.642,3
592.0993,244.3875,190.642,4
601.374,250.4875,190.642,5
610.1239,256.0125,190.642,6
618.8735,262.25,190.642,7
627.4482,268.3375,190.642,8
636.373,274.25,190.642,9
644.9477,280.0875,190.642,10
653.8725,286.375,190.642,1
662.2721,291.825,190.642,2
671.1969,298.475,190.642,3
679.7717,306.475,190.642,4
688.5213,312.75,190.642,5
697.4461,318.325,190.642,6
704.2021,324.9625,190.642,7
504.6875,182.2375,184.2985,8
513.6668,188.35,184.2985,9
522.0665,194.675,184.2985,10
531.3063,200.5125,184.2985,1
540.266,205.7625,184.2985,2
548.9457,212.2375,184.2985,3
557.6254,218.0125,184.2985,4
566.0251,224.1875,184.2985,5
574.7749,230.0375,184.2985,6
583.5246,236.0125,184.2985,7
592.0993,244.3875,184.2985,8
601.374,250.4875,184.2985,9
610.1239,256.0125,184.2985,10
618.8735,262.25,184.2985,1
627.4482,268.3375,184.2985,2
636.373,274.25,184.2985,3
644.9477,280.0875,184.2985,4
653.8725,286.375,184.2985,5
662.2721,291.825,184.2985,6
671.1969,298.475,184.2985,7
679.7717,306.475,184.2985,8
688.5213,312.75,184.2985,9
697.4461,318.325,184.2985,10
704.2021,324.9625,184.2985,1
513.6668,188.35,178.2829,2
504.6875,182.2375,178.2829,3
522.0665,194.675,178.2829,4
531.3063,200.5125,178.2829,5
540.266,205.7625,178.2829,6
548.9457,212.2375,178.2829,7
557.6254,218.0125,178.2829,8
566.0251,224.1875,178.2829,9
574.7749,230.0375,178.2829,10
583.5246,236.0125,178.2829,1
592.0993,244.3875,178.2829,2
601.374,250.4875,178.2829,3
610.1239,256.0125,178.2829,4
618.8735,262.25,178.2829,5
627.4482,268.3375,178.2829,6
636.373,274.25,178.2829,7
644.9477,280.0875,178.2829,8
653.8725,286.375,178.2829,9
662.2721,291.825,178.2829,10
671.1969,298.475,178.2829,1
679.7717,306.475,178.2829,2
688.5213,312.75,178.2829,3
697.4461,318.325,178.2829,4
704.2021,324.9625,178.2829,5
504.6875,182.2375,172.0488,6
513.6668,188.35,172.0488,7
522.0665,194.675,172.0488,8
531.3063,200.5125,172.0488,9
592.0993,244.3875,172.0488,10
601.374,250.4875,172.0488,1
610.1239,256.0125,172.0488,2
618.8735,262.25,172.0488,3
627.4482,268.3375,172.0488,4
636.373,274.25,172.0488,5
644.9477,280.0875,172.0488,6
653.8725,286.375,172.0488,7
662.2721,291.825,172.0488,8
671.1969,298.475,172.0488,9
679.7717,306.475,172.0488,10
688.5213,312.75,172.05,1
504.6875,182.2375,165.3773,2
513.6668,188.35,165.3773,3
522.0665,194.675,165.3773,4
531.3063,200.5125,165.3773,5
592.0994,244.3875,165.3773,6
601.374,250.4875,165.3773,7
610.1239,256.0125,165.3773,8
618.8735,262.25,165.3773,9
627.4482,268.3375,165.3773,10
636.373,274.25,165.3773,1
644.9477,280.0875,165.3773,2
653.8725,286.375,165.3773,3
662.2721,291.825,165.3773,4
671.1969,298.475,165.3773,5
679.7717,306.475,165.3773,6
688.5213,312.75,165.375,7
504.6875,182.2375,159.3618,8
513.6668,188.35,159.3618,9
522.0665,194.675,159.3618,10
531.3063,200.5125,159.3618,1
592.0994,244.3875,159.3618,2
601.374,250.4875,159.3618,3
610.1239,256.0125,159.3618,4
618.8735,262.25,159.3618,5
627.4482,268.3375,159.3618,6
636.373,274.25,159.3618,7
644.9477,280.0875,159.3618,8
653.8725,286.375,159.3618,9
662.2721,291.825,159.3618,10
671.1969,298.475,159.3618,1
679.7717,306.475,159.3618,2
688.5213,312.75,159.3625,3
688.5213,312.75,172.05,4
688.5213,312.75,178.2829,5
697.4461,318.325,178.2829,6
697.4461,318.325,172.05,7
688.5213,312.75,165.375,8
697.4461,318.325,165.375,9
688.5213,312.75,159.3625,10
697.4461,318.325,159.3625,1
-513.6668,188.35,134.4416,2
-513.6668,188.35,140.4031,3
-504.6875,182.2375,140.4031,4
-504.6875,182.2375,134.4416,5
-522.0665,194.675,134.4416,6
-522.0665,194.675,140.4031,7
-531.3063,200.5125,134.4416,8
-531.3063,200.5125,140.4031,9
-601.374,250.4875,134.4416,10
-601.374,250.4875,140.4031,1
-592.0993,244.3875,140.4031,2
-592.0993,244.3875,134.4416,3
-610.1239,256.0125,134.4416,4
-610.1239,256.0125,140.4031,5
-618.8735,262.25,134.4416,6
-618.8735,262.25,140.4031,7
-627.4482,268.3375,134.4416,8
-627.4482,268.3375,140.4031,9
-636.373,274.25,134.4416,10
-636.373,274.25,140.4031,1
-644.9477,280.0875,134.4416,2
-644.9477,280.0875,140.4031,3
-653.8725,286.375,134.4416,4
-653.8725,286.375,140.4031,5
-662.2721,291.825,134.4416,6
-662.2721,291.825,140.4031,7
-671.1969,298.475,134.4416,8
-671.1969,298.475,140.4031,9
-679.7717,306.475,134.4416,10
-679.7717,306.475,140.4031,1
-688.5213,312.75,134.4416,2
-688.5213,312.75,140.4031,3
-697.4461,318.325,134.4416,4
-697.4461,318.325,140.4031,5
-704.2021,324.9625,134.4416,6
-704.2021,324.9625,140.4031,7
-513.6668,188.35,127.6606,8
-504.6875,182.2375,127.6606,9
-522.0665,194.675,127.6606,10
-531.3063,200.5125,127.6606,1
-601.374,250.4875,127.6606,2
-592.0993,244.3875,127.6606,3
-610.1239,256.0125,127.6606,4
-618.8735,262.25,127.6606,5
-627.4482,268.3375,127.6606,6
-636.373,274.25,127.6606,7
-644.9477,280.0875,127.6606,8
-653.8725,286.375,127.6606,9
-662.2721,291.825,127.6606,10
-671.1969,298.475,127.6606,1
-679.7717,306.475,127.6606,2
-688.5213,312.75,127.6606,3
-697.4461,318.325,127.6606,4
-704.2021,324.9625,127.6606,5
-513.6668,188.35,121.5357,6
-504.6875,182.2375,121.5357,7
-522.0665,194.675,121.5357,8
-531.3063,200.5125,121.5357,9
-601.374,250.4875,121.5357,10
-592.0993,244.3875,121.5357,1
-610.1239,256.0125,121.5357,2
-618.8735,262.25,121.5357,3
-627.4482,268.3375,121.5357,4
-636.373,274.25,121.5357,5
-644.9477,280.0875,121.5357,6
-653.8725,286.375,121.5357,7
-662.2721,291.825,121.5357,8
-671.1969,298.475,121.5357,9
-679.7717,306.475,121.5357,10
-688.5213,312.75,121.5357,1
-697.4461,318.325,121.5357,2
-704.2021,324.9625,121.5357,3
-513.6668,188.35,115.4109,4
-504.6875,182.2375,115.4109,5
-522.0665,194.675,115.4109,6
-531.3063,200.5125,115.4109,7
-540.266,205.7625,115.4109,8
-540.266,205.7625,121.5357,9
-548.9457,212.2375,115.4109,10
-548.9457,212.2375,121.5357,1
-557.6254,218.0125,115.4109,2
-557.6254,218.0125,121.5357,3
-566.0251,224.1875,115.4109,4
-566.0251,224.1875,121.5357,5
-574.7749,230.0375,115.4109,6
-574.7749,230.0375,121.5357,7
-583.5246,236.0125,115.4109,8
-583.5246,236.0125,121.5357,9
-592.0993,244.3875,115.4109,10
-601.374,250.4875,115.4109,1
-610.1239,256.0125,115.4109,2
-618.8735,262.25,115.4109,3
-627.4482,268.3375,115.4109,4
-636.373,274.25,115.4109,5
-644.9477,280.0875,115.4109,6
-653.8725,286.375,115.4109,7
-662.2721,291.825,115.4109,8
-671.1969,298.475,115.4109,9
-679.7717,306.475,115.4109,10
-688.5213,312.75,115.4109,1
-697.4461,318.325,115.4109,2
-704.2021,324.9625,115.4109,3
-513.6668,188.35,109.0674,4
-504.6875,182.2375,109.0674,5
-522.0665,194.675,109.0674,6
-531.3063,200.5125,109.0674,7
-540.266,205.7625,109.0674,8
-548.9457,212.2375,109.0674,9
-557.6254,218.0125,109.0674,10
-566.0251,224.1875,109.0674,1
-574.7749,230.0375,109.0674,2
-583.5246,236.0125,109.0674,3
-592.0993,244.3875,109.0674,4
-601.374,250.4875,109.0674,5
-610.1237,256.0125,109.0674,6
-618.8735,262.25,109.0674,7
-627.4482,268.3375,109.0674,8
-636.373,274.25,109.0674,9
-644.9477,280.0875,109.0674,10
-653.8725,286.375,109.0674,1
-662.2721,291.825,109.0674,2
-671.1969,298.475,109.0674,3
-679.7717,306.475,109.0674,4
-688.5213,312.75,109.0674,5
-697.4461,318.325,109.0674,6
-704.2021,324.9625,109.0674,7
-513.6668,188.35,103.052,8
-504.6875,182.2375,103.052,9
-522.0665,194.675,103.052,10
-531.3063,200.5125,103.052,1
-540.266,205.7625,103.052,2
-548.9457,212.2375,103.052,3
-557.6254,218.0125,103.052,4
-566.0251,224.1875,103.052,5
-574.7749,230.0375,103.052,6
-583.5246,236.0125,103.052,7
-592.0993,244.3875,103.052,8
-601.374,250.4875,103.052,9
-610.1239,256.0125,103.052,10
-618.8735,262.25,103.052,1
-627.4482,268.3375,103.052,2
-636.373,274.25,103.052,3
-644.9477,280.0875,103.052,4
-653.8725,286.375,103.052,5
-662.2721,291.825,103.052,6
-671.1969,298.475,103.052,7
-679.7717,306.475,103.052,8
-688.5213,312.75,103.052,9
-697.4461,318.325,103.052,10
-704.2021,324.9625,103.052,1
-513.6668,188.35,96.7083,2
-504.6875,182.2375,96.7083,3
-522.0665,194.675,96.7083,4
-531.3063,200.5125,96.7083,5
-540.266,205.7625,96.7083,6
-548.9457,212.2375,96.7083,7
-557.6254,218.0125,96.7083,8
-566.0251,224.1875,96.7083,9
-574.7749,230.0375,96.7083,10
